[Charset=windows-1251]

[Individuals]
ID	Gender	Name.First	Name.Middle	Name.Last	Comment	IsAdopted	FamilyRank	Birth.Date	Birthday	Age	Birth.Place	IsDead	Death.Date	Death.Cause	Death.Cause.Description	Death.Place	Death.Childless	Pictures.Count	Pictures	Sources	Mates	Fathers	FathersAgeAtBirth	Mothers	MothersAgeAtBirth	Siblings.Twins	Siblings	Siblings.Half	Siblings.Step	Siblings.Other	Children	Children.Age	AgeAtChildBirths	Employer	Occupation	Occupations	Educations	Contacts	Contact.Address	Contact.Telephone	Contact.TelephoneMobile	Contact.TelephoneWork	Contact.Email	Contact.Homepage	Hyperlink.Internal	Hyperlink	Birth.Baptism.Date	Birth.Baptism.Place	Birth.Baptism.Officiator.Title	Birth.Baptism.Officiator	Birth.Baptism.Godfather	Birth.Baptism.Godmother	Birth.Baptism.Source	Death.Funerals.Date	Death.Funerals.Agency	Death.Funerals.Place	Death.Funerals.Source	Death.Disposition.Type	Death.Disposition.Date	Death.Disposition.Place	Death.Disposition.Source	DataLevel	BloodPurity	Allegiance	FilmPortrayal	House
ind00016	M	Ronald	Bilius	Weasley	Ron has the trademark flaming red hair of the Weasleys and blue eyes. He is described as being tall, thin and gangly, with freckles, a long nose and big hands and feet. He is Harry Potter's best friend, a constant companion throughout their adventures.  		6	1 Mar 1980	1 Mar	35y 7m 13d		N						2	pic00007, pic00037			ind00029	40	ind00030	29		ind00035, ind00036, ind00031, ind00032, ind00033, ind00034										edu00013								Y																	5	Pure blood	Dumbledore's Army, Order of the Phoenix	Rupert Grint	Gryffindor
ind00018	F	Hermione		Granger	Hermione is best friends with Harry Potter and Ron Weasley. She is very smart and she applies herself to her studies, which makes her the best student in her class.    She has a cat name Crookshank, it is part Kneazle.			19 Sep 1979	19 Sep	36y 25d		N						2	pic00013, pic00014																		edu00016								Y																	5	Muggle born witch		Emma Watson	Gryffindor
ind00021	M			Evans	They were said to be proud to have a witch in the family.  Showed up in the mirror of Erised.							N									ind00022										ind00007, ind00003	21, 	, 																													2	Muggle born			
ind00022	F			Evans	They were said to be proud to have a witch in the family.  Showed up in the mirror of Erised.							N									ind00021										ind00007, ind00003	21, 	, 																													2	Muggle born			
ind00023	M	Severus		Snape				9 Jan 1960	9 Jan	55y 9m 5d		N						1	pic00018															Hogwarts	Head of Slytherin	occu00008, occu00027, occu00029									Y																	4		Order of the Phoenix	Alan Rickman	Slytherin
ind00024	M	Neville		Longbottom	Neville is a plump, rather bumbling, Gryffindor student in Harry's year. He has a notoriously bad memory. 			30 Jul 1980	30 Jul	35y 2m 14d		N						3	pic00015, pic00016, pic00079																										Y																	4	Pure blood	Dumbledore's Army, Order of the Phoenix	Matthew Lewis	Gryffindor
ind00025	F	Marjorie		Dursley	Marjorie "Marge" Dursley is Vernon Dursley's sister and is described as being just like him, a large woman with hardly any neck and even a moustache.   Aunt Marge usually brings her dog Ripper with her to Privet Drive – he pines when he is away from her – and treats him better than she treats most humans. While Aunt Marge is gone, Colonel Fubster takes care of her other dogs.   Terrorizes Harry Potter when she comes to visit.		1					N						2	pic00012, pic00024			ind00026		ind00027			ind00002								Dog breeder	occu00010		contact00002																								5	Muggle born	None	Pam Ferris	
ind00026	M			Dursley								N									ind00027										ind00025, ind00002	, 	, 																													1	Muggle born			
ind00027	F			Dursley								N									ind00026										ind00025, ind00002	, 	, 																													1	Muggle born			
ind00028																																													Y																					
ind00029	M	Arthur		Weasley	Arthur is described as being tall and thin, with red hair.		3	6 Feb 1940	6 Feb	75y 8m 8d		N						2	pic00011, pic00032		ind00030	ind00079		ind00107			ind00109, ind00110				ind00035, ind00036, ind00031, ind00032, ind00033, ind00016, ind00034	44, 42, 39, 37, 37, 35, 34	30, 32, 36, 38, 38, 40, 41	Ministry of magic	Misuse of Muggle Artifacts office	occu00004, occu00018																										5	Pure blood	Order of the Phoenix, Ministry of Magic	Mark Williams	Gryffindor
ind00030	F	Molly		Prewett	Her youngest children, Ron and Ginny, are best friends with Harry Potter and Hermione Granger. Molly seems to have taken Harry and Hermione, both of them without magical families, under her wing and treats them with motherly affection as unofficial members of her family. Harry especially is treated with her over-protective tendencies, because he is an orphan and his real adoptive family mistreats him. 		1	30 Oct 1950	30 Oct	64y 11m 14d		N						1	pic00033		ind00029	ind00096		ind00097			ind00102, ind00103				ind00035, ind00036, ind00031, ind00032, ind00033, ind00016, ind00034	44, 42, 39, 37, 37, 35, 34	20, 22, 25, 27, 27, 29, 30		Witch housewife	occu00017																										5	Pure blood	Order of the Phoenix	Julie Walters	Gryffindor
ind00031	M	Percival	Ignatius	Weasley			3	22 Aug 1976	22 Aug	39y 1m 22d		N						1	pic00010			ind00029	36	ind00030	25		ind00035, ind00036, ind00032, ind00033, ind00016, ind00034							Ministry of magic	Junior Assistant to the Minister of Magic	occu00007	edu00010																									5	Pure blood	Ministry of Magic	Chris Rankin	Gryffindor
ind00032	M	Frederic		Weasley	He has flaming red hair and is described as being on the shorter, stockier side.		4	1 Apr 1978	1 Apr	37y 6m 13d		N						2	pic00008, pic00036			ind00029	38	ind00030	27	ind00033	ind00035, ind00036, ind00031, ind00033, ind00016, ind00034							Weasleys' Wizard Wheezes	Owner of a joke shop	occu00019	edu00011																									6	Pure blood	Dumbledore's Army, Order of the Phoenix	James Phelps	Gryffindor
ind00033	M	George		Weasley	He has flaming red hair and is described as being on the shorter, stockier side		5	1 Apr 1978	1 Apr	37y 6m 13d		N						2	pic00008, pic00036			ind00029	38	ind00030	27	ind00032	ind00035, ind00036, ind00031, ind00032, ind00016, ind00034							Weasleys' Wizard Wheezes	Owner of a joke shop	occu00019	edu00011																									6	Pure blood	Dumbledore's Army, Order of the Phoenix	Oliver Phelps	Gryffindor
ind00034	F	Ginevra		Weasley	First girl in seven generations, seventh child of the Weasley family, both her first and last name have 7 letters.  She is small, with vivid red hair and bright brown eyes. She is a talented witch, especially noted for her skill with the Bat-Bogey Hex. She also tends to get obsessed with things, such as Harry, her diary, her boyfriends, or her dislike of Fleur. 		7	11 Aug 1981	11 Aug	34y 2m 3d		N						2	pic00005, pic00006			ind00029	41	ind00030	30		ind00035, ind00036, ind00031, ind00032, ind00033, ind00016										edu00014								Y																	5	Pure blood	Dumbledore's Army, Order of the Phoenix	Bonnie Wright	Gryffindor
ind00035	M	William		Weasley	He is a good looking young man and has long red hair tied back in a ponytail and single fang earring. Bill fought bravely in the Battle of Hogwarts, but did not escape unscathed. The werewolf Fenrir Greyback savaged Bill, albeit in his human form, and caused lycanthropy contamination to an unknown, partial extent. According to Remus Lupin, who is also a werewolf, this was not enough to cause actual transformations, though Bill has apparently developed a liking for extremely rare steaks and is left with a deeply scarred face. His and Fleur Delacour's plans to marry are unchanged.		1	29 Nov 1970	29 Nov	44y 10m 15d		N									ind00098	ind00029	30	ind00030	20		ind00036, ind00031, ind00032, ind00033, ind00016, ind00034							Gringotts	Curse breaker	occu00005	edu00009																									5	Pure blood	Order of the Phoenix	Richard Fish (cameo)	Gryffindor
ind00036	M	Charles		Weasley	Is described as having broad, good-natured, weather-beaten face with so many freckles that it looks almost tanned. Charlie's build, like his twin brothers Fred and George, is shorter and stockier than Percy and Ron's, who are long and lanky. 		2	12 Dec 1972	12 Dec	42y 10m 2d		N										ind00029	32	ind00030	22		ind00035, ind00031, ind00032, ind00033, ind00016, ind00034								Works with dragons	occu00006	edu00005																									5	Pure blood	Order of the Phoenix	Alex Crockford (cameo)	Gryffindor
ind00037																																													Y																					
ind00038	M	Orion		Black			2	1929		50		Y	1979								ind00039	ind00041	28	ind00042			ind00043				ind00009, ind00040	36, 18	30, 32																													3	Pure blood			
ind00039	F	Walburga		Black	Her hair was grey and messy, her eyes popping and rolling. She died in 1985, but her portrait remained at 12 Grimmauld Place, where it screamed insults at the various members of The Order of the Phoenix, including her son Sirius, after they made the house their headquarters. In the portrait she appears as an hysterical woman in a black cap whose eyes are rolling and whose yellow-skinned face is stretched taught. Her unpleasant appearance may be more the result of her unpleasant attitude than of the natural aging process.		1	1925		60		Y	1985								ind00038	ind00060	13	ind00061			ind00085, ind00084				ind00009, ind00040	36, 18	34, 36			occu00016																										5	Pure blood	The House of Black		Slytherin
ind00040	M	Regulus	Arcturus	Black	Could be the person who signed the locket containing a message signed with the initials R.A.B. 		2	1961		18		Y	1979	Murder	Murdered by Voldemort or on Voldemort's orders when he wanted out of the Death Eaters							ind00038	32	ind00039	36		ind00009																																			4	Pure blood	Formely Death Eaters		Slytherin
ind00041	M	Arcturus		Black			1	1901		90		Y	1991								ind00042	ind00045	24	ind00046			ind00047, ind00048				ind00043, ind00038	67, 50	24, 28																													3	Pure blood			
ind00042	F	Melania		McMillan								N									ind00041										ind00043, ind00038	67, 50	, 																													1	Pure blood			
ind00043	F	Lucretia		Black			1	1925		67		Y	1992								ind00044	ind00041	24	ind00042			ind00038																																			3	Pure blood			
ind00044	M	Ignatus		Prewett			1					N									ind00043	ind00104		ind00105			ind00096																		Y																	1	Pure blood			
ind00045	M	Sirius		Black			1	1877		75		Y	1952								ind00046	ind00049	30	ind00050			ind00057, ind00067, ind00062, ind00058				ind00041, ind00047, ind00048	90, 61, 53	24, 27, 29																													3	Pure blood			
ind00046	F	Hesper		Gamp								N									ind00045										ind00041, ind00047, ind00048	90, 61, 53	, , 																													1				
ind00047	M	Lycoris		Black			2	1904		61		Y	1965				Y					ind00045	27	ind00046			ind00041, ind00048																																			3	Pure blood			
ind00048	M	Regulus		Black			3	1906		53		Y	1959				Y					ind00045	29	ind00046			ind00041, ind00047																																			3	Pure blood			
ind00049	M	Phineas Nigellus		Black	Least popular headmaster Hogwarts has ever had.		3	1847		79		Y	1926					1	pic00026		ind00050	ind00051		ind00052			ind00053, ind00055, ind00054				ind00045, ind00057, ind00067, ind00062, ind00058	75, , 75, 76, 54	30, , 37, 39, 42		Headmaster	occu00013																										6	Pure blood			Slytherin
ind00050	F	Ursula		Flint								N									ind00049										ind00045, ind00057, ind00067, ind00062, ind00058	75, , 75, 76, 54	, , , , 																													1	Pure blood			
ind00051	M			Black								N									ind00052										ind00053, ind00055, ind00049, ind00054	8, , 79, 81	, , , 																													1	Pure blood			
ind00052	F											N									ind00051										ind00053, ind00055, ind00049, ind00054	8, , 79, 81	, , , 																													1	Pure blood			
ind00053	M	Sirius		Black			1	1845		8		Y	1853				Y					ind00051		ind00052			ind00055, ind00049, ind00054																																			3	Pure blood			
ind00054	F	Elladora		Black			4	1850		81		Y	1931									ind00051		ind00052			ind00053, ind00055, ind00049																																			3				
ind00055	F	Isla		Black	Disowned for marrying Muggle Bob Higgens.		2					N									ind00056	ind00051		ind00052			ind00053, ind00049, ind00054																																			2				
ind00056	M	Bob		Higgens								N									ind00055																																									1	Muggle born			
ind00057	M	Phineas		Black	Supported muggle rights.		2					N										ind00049		ind00050			ind00045, ind00067, ind00062, ind00058																																			2	Pure blood			
ind00058	M	Cygnus		Black			5	1889		54		Y	1943								ind00059	ind00049	42	ind00050			ind00045, ind00057, ind00067, ind00062				ind00060, ind00069, ind00070, ind00071	78, 77, , 57	23, 26, , 31																													3				
ind00059	F	Violetta		Bulstrode								N									ind00058										ind00060, ind00069, ind00070, ind00071	78, 77, , 57	, , , 																													1				
ind00060	M	Pollux		Black			1	1912		78		Y	1990								ind00061	ind00058	23	ind00059			ind00069, ind00070, ind00071				ind00039, ind00085, ind00084	60, 54, 	13, 26, 																													3	Pure blood			
ind00061	F	Irma		Crabbe								N									ind00060										ind00039, ind00085, ind00084	60, 54, 	, , 																													1	Pure blood			
ind00062	F	Belvina		Black			4	1886		76		Y	1962								ind00063	ind00049	39	ind00050			ind00045, ind00057, ind00067, ind00058				ind00064, ind00065, ind00066	, , 	, , 																													3	Pure blood			
ind00063	M	Hebert		Burke								N									ind00062										ind00064, ind00065, ind00066	, , 	, , 																													1	Pure blood			
ind00064	M			Burke			1					N										ind00063		ind00062			ind00065, ind00066																																			1				
ind00065	M			Burke			2					N										ind00063		ind00062			ind00064, ind00066																																			1				
ind00066	F			Burke			3					N										ind00063		ind00062			ind00064, ind00065																																			1				
ind00067	M	Arcturus		Black			3	1884		75		Y	1959								ind00068	ind00049	37	ind00050			ind00045, ind00057, ind00062, ind00058				ind00074, ind00078, ind00080	100, , 54	31, , 35																													3	Pure blood			
ind00068	F	Lysandra		Yaxley								N									ind00067										ind00074, ind00078, ind00080	100, , 54	, , 																													1	Pure blood			
ind00069	F	Cassiopeia		Black			2	1915		77		Y	1992									ind00058	26	ind00059			ind00060, ind00070, ind00071																																			3	Pure blood			
ind00070	M	Marius		Black	Disowned because he was a squib		3					N										ind00058		ind00059			ind00060, ind00069, ind00071																																			2	Pure blood squib			
ind00071	F	Dorea		Black			4	1920		57		Y	1977								ind00072	ind00058	31	ind00059			ind00060, ind00069, ind00070				ind00073																															3	Pure blood			
ind00072	M	Charlus		Potter								N									ind00071										ind00073																															1	Pure blood			
ind00073	M			Potter			1					N										ind00072		ind00071																																						1				
ind00074	F	Callidora		Black			1	1915		100		N									ind00075	ind00067	31	ind00068			ind00078, ind00080				ind00076, ind00077	, 	, 																													2	Pure blood			
ind00075	M	Harfang		Longbottom								N									ind00074										ind00076, ind00077	, 	, 																													1				
ind00076	M			Longbottom			1					N										ind00075		ind00074			ind00077																																			1	Pure blood			
ind00077	F			Longbottom			2					N										ind00075		ind00074			ind00076																																			1	Pure blood			
ind00079	M	Septimus		Weasley								N									ind00078, ind00107										ind00109, ind00110, ind00029	, , 75	, , 												Y																	1	Half-blood			
ind00080	F	Charis		Black			3	1919		54		Y	1973								ind00081	ind00067	35	ind00068			ind00074, ind00078				ind00082, ind00083	, 	, 																													3	Pure blood			
ind00081	M	Caspar		Crouch								N									ind00080										ind00082, ind00083	, 	, 																													1	Pure blood			
ind00082	M			Crouch			1					N										ind00081		ind00080			ind00083																																			1	Pure blood			
ind00083	F			Crouch			2					N										ind00081		ind00080			ind00082																																			1	Pure blood			
ind00084	M	Alphard		Black	Disowned because he gave gold to his runaway nephew (Sirius).		3					N										ind00060		ind00061			ind00039, ind00085																																			2	Pure blood			
ind00085	M	Cygnus		Black			2	1938		54		Y	1992								ind00086	ind00060	26	ind00061			ind00039, ind00084				ind00087, ind00089, ind00090	64, , 60	13, , 17																													3	Pure blood			
ind00086	F	Druella		Rosier								N									ind00085										ind00087, ind00089, ind00090	64, , 60	, , 																													1	Pure blood			
ind00087	F	Bellatrix		Black	Black hair, dark eyes, heavy lidded		1	1951		64		N									ind00088	ind00085	13	ind00086			ind00089, ind00090																																			3	Pure blood	Death Eaters	Helen McCrory (5)	Slytherin
ind00088	M	Rodolphus		Lestrange								N									ind00087																																									1	Pure blood	Death Eaters		
ind00089	F	Andromeda		Black	Married Muggle Ted Tonks. She has a talent for cleanliness that her husband and child do not share, and that she is responsible for giving her daughter the name "Nymphadora" (which Nymphadora hates, preferring to be known simply as "Tonks").		2					N									ind00091	ind00085		ind00086			ind00087, ind00090				ind00094	42																														2	Pure blood	Order of the Phoenix		Slytherin
ind00090	F	Narcissa		Black	Blonde and blue-eyed. Her nickname, at least to her sister Bellatrix, is "Cissy". She is described as having the habit of wrinkling her nose to appear disgusted around those of non-pureblood ancestry. Her snobbishness mars her beauty. 		3	1955		60		N									ind00092	ind00085	17	ind00086			ind00087, ind00089				ind00093	35	25																													3	Pure blood	Death Eaters		Slytherin
ind00091	M	Ted		Tonks								N									ind00089										ind00094	42																														1	Muggle born			
ind00092	M	Lucius		Malfoy	Father was Abraxas Malfoy.  He has white-blond hair and grey eyes.			1954		61		N						2	pic00030, pic00031		ind00090										ind00093	35	26		Governor	occu00015	edu00003																									6	Pure blood	Death Eaters	Jason Isaacs (2, 4-5)	Slytherin
ind00093	M	Draco		Malfoy	Draco is Harry Potter's principal rival at school. The rivalry between the two is such that Harry has at times perceived Draco to be his archnemesis. Draco is described as a pale-faced boy with white-blond hair, pointed features, and cold grey eyes. Harry describes him as a spoiled, arrogant, and selfish person. 		1	5 Jun 1980	5 Jun	35y 4m 9d		N						3	pic00027, pic00028, pic00029			ind00092	26	ind00090	25												edu00006								Y																	5	Pure blood	The Inquisitorial Squad, Death Eaters (presumed)	Tom Felton	Slytherin
ind00094	F	Nymphadora		Tonks	Her hair colour varies (usually bubble-gum pink, natural colour likely mousy brown); her eye colour also varies. She is in love with Remus Lupin, but was frustrated and depressed by his refusal to pursue the romance 		1	1973		42		N										ind00091		ind00089											Auror	occu00014	edu00004																									5	Half-blood	Order of the Phoenix	Natalia Tena	
ind00096	M			Prewett			2					N									ind00097	ind00104		ind00105			ind00044				ind00030, ind00102, ind00103	64, , 	, , 																													1				
ind00097	F			Prewett								N									ind00096										ind00030, ind00102, ind00103	64, , 	, , 																													1				
ind00098	F	Fleur		Delacour	Silvery-blonde hair, deep blue eyes. Due to the heritage of her Veela grandmother, many boys are immediately awestruck when they see her, and she is able to temporarily make herself almost irresistible to the opposite sex.  		1	1977		38	place00005	N						2	pic00034, pic00035		ind00035	ind00099		ind00100			ind00101										edu00007																									6	Quarter-Veela	Order of the Phoenix	Clemence Poesy	
ind00099	M			Delacour								N									ind00100										ind00098, ind00101	38, 28	, 																													1				
ind00100	F			Delacour								N									ind00099										ind00098, ind00101	38, 28	, 																													1				
ind00101	F	Gabrielle		Delacour	She is partly non-human, with a Veela grandmother.  		2	1987		28		N										ind00099		ind00100			ind00098										edu00008																									4			Angelica Mandy	
ind00102	M	Gideon		Prewett	Gideon was a member of the original Order of the Phoenix, but, according to Alastor Moody he died as a hero with his brother. Both are in a picture of the original Order members that Moody shows to Harry. They were brutally killed by five Death Eaters, including Antonin Dolohov, who went to Azkaban for it. 		2					N										ind00096		ind00097			ind00030, ind00103																																			2	Pure blood	Order of the Phoenix		
ind00103	M	Fabian		Prewett	Fabian was a member of the original Order of the Phoenix, but, according to Alastor Moody he died as a hero with his brother. Both are in a picture of the original Order members that Moody shows to Harry. They were brutally killed by five Death Eaters, including Antonin Dolohov, who went to Azkaban for it.  		3					N										ind00096		ind00097			ind00030, ind00102																																			2	Pure blood	Order of the Phoenix		
ind00104	M											N									ind00105										ind00044, ind00096	, 	, 																																	
ind00105	F											N									ind00104										ind00044, ind00096	, 	, 																																	
ind00106																																													Y																					
ind00107	F	Cedrella		Black	Disowned because she married Septimus Weasley.							N									ind00079										ind00109, ind00110, ind00029	, , 75	, , 																													2	Pure blood			
ind00108																																													Y																					
ind00109	M	Bilius		Weasley	Bilius saw the Grim and died within twenty-four hours. Ron's middle name is possibly in honor of him.		1					N										ind00079		ind00107			ind00110, ind00029																																			2				
ind00110	M			Weasley			2					N										ind00079		ind00107			ind00109, ind00029																																			1				
ind00111																																													Y																					
ind00112	M	Tom		Riddle				1903		40		Y	1943								ind00113										ind00005	88	23																													3	Muggle born			
ind00113	F	Merope		Gaunt			2	1907		19		Y	31 Dec 1926								ind00112	ind00114		ind00115			ind00116				ind00005	88	19																													3	Pure blood			
ind00114	M	Marvolo		Gaunt								Y	1927								ind00115										ind00116, ind00113	70, 19	, 																													2				
ind00115	F											N									ind00114										ind00116, ind00113	70, 19	, 																																	
ind00116	M	Morphin		Gaunt	Parselmouth and sociopath. Morfin is seen dressed in rags. His thick hair is so matted with dirt the color was indistinguishable. "Several of his teeth were missing. His eyes were small and dark and stared in opposite directions." 		1	1900		70		Y	1970				Y					ind00114		ind00115			ind00113																																			4	Pure blood			
ind00117	M	Salazar		Slytherin								N																																																		1				Slytherin
ind00118																																													Y																					
ind00078	F	Cedrella		Black	Disowned because she married Septimus Weasley.		2					N									ind00079	ind00067		ind00068			ind00074, ind00080																																			2	Pure blood			
ind00119	M	Dean		Thomas								N						1	pic00042																		edu00017																									3	Half-blood	Dumbledore's Army	Alfred Enoch	Gryffindor
ind00120	M	Seamus		Finnigan								N						1	pic00043																		edu00016																									3	Half-blood	Dumbledore's Army	Devon Murray	Gryffindor
ind00121	F	Parvati		Patil	Has an identical twin sister Padma in Ravenclaw.							N						2	pic00044, pic00045																		edu00003																									4		Dumbledore's Army	Sitara Shah, Shafali Chowdhury	Gryffindor
ind00122																																													Y																					
ind00123																																													Y																					
ind00124																																													Y																					
ind00125																																													Y																					
ind00126																																													Y																					
ind00127	F	Lavender		Brown								N						1	pic00080																		edu00016																									3	Pure blood	Dumbledore's Army	Jennifer Smith	Gryffindor
ind00128	M	Oliver		Wood								N						1	pic00047																		edu00018																									3		Puddlemere United	Sean Biggerstaff	Gryffindor
ind00129	F	Angelina		Johnson	Angelina is a tall black girl with long braided hair, two years older than Harry. She has been a Chaser on the Gryffindor Quidditch team since her second year, and became the team captain in her seventh year. 			Oct 1977	Oct	38y 0m		N						1	pic00046																		edu00003																									5		Dumbledore's Army	Danielle Tabor/Tiana Benjamin	Gryffindor
